id|src|source|lang|module|res_id|state|name|value|comments|type
sc.ir_translation_mail_reset_pwd_html|path:data/mail_reset_password.html|path:data/mail_reset_password.html|de_DE|fluxdock_membership|fluxdock_membership.reset_password_email|translated|mail.template,body_html|path:data/mail_reset_password_DE.html||model
sc.ir_translation_mail_reset_pwd_subject|Fluxdock password reset|Fluxdock password reset|de_DE|fluxdock_membership|fluxdock_membership.reset_password_email|translated|mail.template,subject|Passwort Zurücksetzen||model
sc.ir_translation_mail_account_confirmation_html|path:data/mail_signup.html|path:data/mail_signup.html|de_DE|fluxdock_membership|fluxdock_membership.set_password_email|translated|mail.template,body_html|path:data/mail_signup_DE.html||model
sc.ir_translation_mail_account_confirmation_subject|Fluxdock account confirmation|Fluxdock account confirmation|de_DE|fluxdock_membership|fluxdock_membership.set_password_email|translated|mail.template,subject|Fluxdock Kontobestätigung||model
sc.ir_translation_mail_membership_upgrade_html|path:data/mail_membership_upgrade.html|path:data/mail_membership_upgrade.html|de_DE|fluxdock_membership|fluxdock_membership.mail_membership_upgrade|translated|mail.template,body_html|path:data/mail_membership_upgrade_DE.html||model
sc.ir_translation_mail_membership_upgrade_subject|Fluxdock membership upgrade|Fluxdock membership upgrade|de_DE|fluxdock_membership|fluxdock_membership.mail_membership_upgrade|translated|mail.template,subject|Fluxdock assoziierte Mitgliedschaft||model
sc.ir_translation_mail_default_template_html|path:data/mail_default_template.html|path:data/mail_default_template.html|de_DE|fluxdock_membership|mail.mail_template_data_notification_email_default|translated|mail.template,body_html|path:data/mail_default_template_DE.html||model
sc.ir_translation_mail_matches_template_html|path:data/mail_matches_template.html|path:data/mail_matches_template.html|de_DE|fluxdock_membership|fluxdock_project.mail_matches_notification|translated|mail.template,body_html|path:data/mail_matches_template_DE.html||model
